5.42E-08,8.47E-20,2816.372,3307.033,3710.545,4153.629,4506.17,4955.873,5318.03,6217.885,7196.517,8148.259,9419.678,10178.181,10757.224,10130.349,8473.643,6227.875,3415.716,1499.511,446.803,98.073,22.148,8.756,6.296,3.555,2.57,2.742,2.468,1.368,0.826,0.817,0.817,0.275,0.001,0.548,0.819,0.274,0.274,0.545,0.272,0.001
5.76E-08,9.75E-20,2892.929,3295.625,3650.107,3935.683,4388.237,4765.225,5182.251,6057.736,6941.133,7772.567,9177.614,10228.265,11469.54,11927.219,11238.599,9256.781,6142.749,3380.364,1402.724,378.101,72.213,19.217,10.697,5.753,3.831,4.368,1.368,2.186,1.635,1.093,0.274,0.822,1.356,0.542,1.361,0.275,0.549,1.083,0.001,1.045
6.12E-08,1.12E-19,3036.861,3412.184,3776.558,4148.149,4630.655,5017.968,5396.672,6198.557,7108.255,8106.88,9541.714,10671.864,12520.26,14087.697,14589.231,13852.363,10912.252,7579.795,4187.873,1744.568,456.746,82.389,23.818,17.984,8.215,5.736,3.278,2.457,4.912,0.546,1.635,1.093,2.727,0.819,0.818,1.635,0.546,0.543,0.543,0.817
6.51E-08,1.30E-19,3190.843,3620.945,4007.719,4319.545,4699.887,5187.325,5510.226,6378.17,7204.651,8287.702,9831.448,10997.055,13028.606,15016.198,16702.58,17382.223,15780.935,12438.97,8453.589,4478.693,1727.483,424.281,82.679,36.27,20.029,12.183,7.129,5.745,3.555,3.009,2.743,1.907,1.635,0.819,0.82,1.629,0.271,0.548,1.633,1.911
6.92E-08,1.50E-19,3079.478,3511.444,3808.857,4136.476,4517.211,4839.265,5305.046,5984.08,6869.235,7933.363,9297.774,10351.001,12328.416,14386.285,16433.08,18548.755,19169.64,17333.467,13675.73,9056.968,4483.797,1520.074,351.438,72.492,31.618,19.799,11.778,8.22,6.315,6.28,3.553,1.096,1.913,1.096,2.175,0.869,1.633,1.358,0.001,1.091
7.36E-08,1.74E-19,3184.649,3539.198,3817.819,4102.576,4411.76,4759.542,5078.207,5734.905,6564.131,7384.398,8670.072,9645.316,11536.593,13611.626,15681.234,18143.799,20602.648,20779.154,18494.545,14244.378,8900.04,4084.244,1299.442,274.246,66.841,36.765,22.785,17.294,9.41,7.662,3.828,5.186,4.913,3.832,2.18,1.364,2.121,0.816,1.361,0.545
7.84E-08,2.02E-19,3041.291,3277.131,3721.205,3959.843,4306.721,4602.969,4946.113,5505.695,6273.755,7000.31,8195.316,9055.2,10876.499,12835.729,14821.836,17259.548,20592.893,22782.82,22476.769,19551.621,14444.538,8422.1,3638.593,1041.661,199.491,71.007,42.979,23.997,13.392,8.197,5.584,4.639,1.619,2.182,3.886,3.057,3.247,1.944,2.456,0.817
8.35E-08,2.33E-19,2934.312,3264.737,3463.963,3638.994,3985.866,4253.133,4395.027,5049.361,5638.123,6388.474,7329.556,8173.679,9819.216,11529.511,13427.546,15787.465,19178.199,22097.82,24046.229,23517.444,20012.894,14114.165,7764.906,3082.826,818.104,176.368,73.266,34.751,18.963,10.938,9.88,9.539,4.368,3.551,4.374,2.456,1.088,2.445,2.189,1.635
8.90E-08,2.70E-19,2548.145,2729.063,2850.349,3064.399,3289.129,3534.766,3718.825,4189.407,4674.573,5241.232,6047.243,6744.861,8024.843,9487.672,11049.104,13132.585,16108.533,18975.052,22415.614,24598.508,23863.464,19899.944,13673.197,7404.61,2765.575,685.123,187.033,79.291,36.004,18.182,12.353,7.019,5.2,5.758,3.832,5.467,3.547,3.812,0.814,1.09
9.49E-08,3.12E-19,2257.075,2411.192,2578.674,2691.727,2824.69,3030.1,3239.848,3590.429,4042.326,4403.674,5096.97,5680.977,6829.813,7822.587,9229.565,10969.703,13620.588,16283.789,19474.487,22797.652,24942.128,24030.203,20147.119,14065.465,7140.492,2489.314,640.378,169.82,76.653,34.587,13.149,11.836,11.774,9.035,4.098,6.307,3.8,3.545,1.917,1.911
